doctor_id,doctor_name,department_id,employment_type
1,Dr. Allison Hill,12,Full Time
2,Dr. Noah Rhodes,12,Full Time
3,Dr. Angie Henderson,12,Full Time
4,Dr. Daniel Wagner,11,Full Time
5,Dr. Cristian Santos,10,Full Time
6,Dr. Connie Lawrence,12,Full Time
7,Dr. Abigail Shaffer,3,Full Time
8,Dr. Gina Moore,4,Full Time
9,Dr. Gabrielle Davis,3,Contract
10,Dr. Ryan Munoz,7,Full Time
11,Dr. Monica Herrera,7,Full Time
12,Dr. Jamie Arnold,9,On-Call
13,Dr. Lisa Hensley,2,Full Time
14,Dr. Michele Williams,10,Full Time
15,Dr. Dylan Miller,4,Full Time
16,Dr. Brian Ramirez,12,Full Time
17,Dr. Holly Wood,8,Full Time
18,Dr. Derek Zuniga,1,Full Time
19,Dr. Lisa Jackson,8,Part Time
20,Dr. Carla Gray,6,Full Time
21,Dr. Margaret Hawkins DDS,4,Full Time
22,Dr. Patty Perez,2,Part Time
23,Dr. Ethan Adams,2,Full Time
24,Dr. Tommy Walter,4,Full Time
25,Dr. Matthew Foster,8,Full Time
26,Dr. Judy Baker,12,Full Time
27,Dr. Justin Baker,8,Part Time
28,Dr. Stephanie Ross,2,Full Time
29,Dr. Zachary Hicks,8,Full Time
30,Dr. Anthony Rodriguez,12,Full Time
31,Dr. Rebecca Henderson,9,Full Time
32,Dr. James Ferrell,1,Full Time
33,Dr. Tricia Valencia,9,Part Time
34,Dr. Nathan Maldonado,12,Full Time
35,Dr. Debra Davidson,11,Full Time
36,Dr. Jeffrey Chavez,8,Part Time
37,Dr. Sherri Baker,1,Full Time
38,Dr. Cassandra Gaines,10,Full Time
39,Dr. Elizabeth Fowler,9,Contract
40,Dr. Brittany Farmer,9,Full Time
41,Dr. Paula Moreno,2,Full Time
42,Dr. Fred Smith,7,Full Time
43,Dr. Sherry Decker,8,Full Time
44,Dr. Anthony Humphrey,12,Full Time
45,Dr. Angelica Tucker,11,Full Time
46,Dr. Philip Cannon,3,Full Time
47,Dr. John Pierce,3,Part Time
48,Dr. Shane Henderson,10,Full Time
49,Dr. Joshua Blair,7,Full Time
50,Dr. Eric Carney,10,Full Time
51,Dr. Jessica Holmes,3,Full Time
52,Dr. Danny Morgan,7,Full Time
53,Dr. Crystal Robinson,4,Contract
54,Dr. Mark Perez,7,Full Time
55,Dr. Shannon Jones,11,Full Time
56,Dr. Michael Lewis,7,Full Time
57,Dr. Timothy Duncan,6,Contract
58,Dr. Richard Aguirre,10,Part Time
59,Dr. Brent Jordan,9,Full Time
60,Dr. John Daniel,12,Part Time
61,Dr. Victoria Garcia,12,Full Time
62,Dr. Gerald Hensley,11,Full Time
63,Dr. Connor West,7,Contract
64,Dr. Donald Wright,7,Contract
65,Dr. Jessica Callahan,1,Full Time
66,Dr. Amber Kidd,9,Part Time
67,Dr. Tracy House,9,Full Time
68,Dr. Carol Tucker,6,Full Time
69,Dr. James Brown,9,Full Time
70,Dr. William Baker,1,Full Time
71,Dr. Jordan Henderson,12,Full Time
72,Dr. Whitney Peters,11,Full Time
73,Dr. Brittney Phillips,8,Part Time
74,Dr. Lauren Daniels,1,Full Time
75,Dr. Amy Silva,10,On-Call
76,Dr. Sarah Moore,7,Full Time
77,Dr. Angela Lopez,1,Full Time
78,Dr. Megan Young,8,Full Time
79,Dr. Steve Sanchez,1,On-Call
80,Dr. Lisa Barnes,12,Full Time
81,Dr. Kelly Donovan,5,Full Time
82,Dr. Mike Allen,1,Full Time
83,Dr. Michael Evans,2,Full Time
84,Dr. Paul Jones,10,On-Call
85,Dr. Zachary Ferrell,7,Full Time
86,Dr. Daniel Baker,11,Full Time
87,Dr. Shirley Suarez,1,Part Time
88,Dr. Christopher Bass,8,Full Time
89,Dr. Lisa Archer,2,Full Time
90,Dr. Aimee Montoya,11,Part Time
91,Dr. Matthew Mcmillan,1,Full Time
92,Dr. Brian Rodriguez,11,Full Time
93,Dr. Denise Jacobs,3,Full Time
94,Dr. Christina Walters,11,Full Time
95,Dr. John Whitehead,10,Full Time
96,Dr. Anna Henderson,3,Full Time
97,Dr. Aaron Wise,7,Full Time
98,Dr. Deborah Figueroa,1,Full Time
99,Dr. Jessica Smith,7,Contract
100,Dr. Stephen Mckee,1,Full Time
101,Dr. Sandra Aguilar,9,Full Time
102,Dr. Cameron Parker,7,Full Time
103,Dr. Rebecca Valencia,10,Full Time
104,Dr. Christine Wright,12,Full Time
105,Dr. Richard Henson,9,Full Time
106,Dr. Marc Moore,1,Full Time
107,Dr. Sharon Cherry,12,Full Time
108,Dr. Sierra Johnson,11,Full Time
109,Dr. Evelyn Galvan,9,Full Time
110,Dr. Sharon Cochran,3,Contract
111,Dr. Richard Rodriguez,6,Part Time
112,Dr. Shannon Walker,8,Contract
113,Dr. Julia Torres,1,Full Time
114,Dr. Crystal Johnson,6,Full Time
115,Dr. Garrett Lin,3,Full Time
116,Dr. Diana May,9,Full Time
117,Dr. William Herrera,2,Full Time
118,Dr. Ashley Waller,2,Full Time
119,Dr. Victor Baker,3,Full Time
120,Dr. Jeffrey Chandler,9,Full Time
121,Dr. Larry Dixon,4,Full Time
122,Dr. Kenneth Scott,5,Full Time
123,Dr. April Frost,8,Full Time
124,Dr. Michelle Harmon,7,Part Time
125,Dr. Helen Jones,1,Full Time
126,Dr. Erin Edwards,11,Full Time
127,Dr. Michelle Evans,7,Full Time
128,Dr. Jason Powell,6,On-Call
129,Dr. Cameron Fisher,3,Contract
